,fitness,fitness_trace,birth_time,route
258,1356.3361989534712,"[1284.6018765791707, 0, 0.0, 71.73432237430055, 0]",12.334786891937256,"[[0, 0], [-0.10163088742385404, 0.0], [-0.4351531670628096, 0.1207635758759957], [-0.4146066863274823, 0.09177108310711046], [-0.8058742368682593, -0.5619213064986772], [0.01301260491961509, 0.4487681427060951], [1.5454594244325754, 0.5447549160970057], [0.8963361239315921, -0.344755975605545], [0.14720094762103983, -0.2370419906472327], [-1.164157256881157, -0.35908119836786323], [0.3175336510164616, -1.4855277325348606], [1.162013350810335, -3.2317581058166542], [0.43972353661131586, -0.9679549286908464], [-0.9763272920502145, -3.6516274092043024]]"
259,1386.0705423317336,"[1358.8196937021532, 0, 0.0, 27.250848629580243, 0]",12.357046604156494,"[[0, 0], [0.021104520522851576, 0.0], [-0.03249233693733725, 0.013483101737009161], [-0.03939142128882642, -0.016178988897854824], [-0.008040987046170154, 0.23019345446389633], [-0.2220882039690834, 0.6054294433391403], [-0.3394130096154939, 0.8472633385990321], [-0.3487123792811088, 0.9543000651451331], [-0.4112500693339195, 1.5876388889168007], [-1.905029972232604, 2.255155405729042], [-2.2681889079367505, 0.2885010414014581], [-1.7391949637802517, -1.5269865838778096], [-0.06339986096078225, -2.1950661980872614], [1.7406799171206733, -3.432671210762088]]"
260,1142.3617392367635,"[907.4804258991223, 200, 0.0, 34.881313337641195, 0]",12.415444135665894,"[[0, 0], [0.27999517683712005, 0.0], [0.5550021751013153, -0.37187476682903076], [0.9414074911625879, -0.07526288574649491], [1.460037607222596, 0.41436382034586083], [2.102689646864225, 0.9555366723803109], [2.1100711954926075, -0.11198552514964857], [0.814694910418061, 0.004664053447372028], [-1.0082732501033154, 0.1472313007588625], [-2.327642244558712, -1.7949488112327074], [-0.09726022890439001, -3.130908892522697], [1.521118446770908, -5.7251647101151875]]"
261,1283.1901588496844,"[1249.0210536780405, 0, 0.0, 34.169105171643864, 0]",12.430250406265259,"[[0, 0], [-0.07015753448762727, 0.0], [-0.7104338594619849, -0.007043808211167131], [-1.619250179495868, 0.12589867554509987], [-1.517011303172309, -0.9028491730976963], [-0.9647782718007507, -1.575690241341484], [-0.6735836940503649, -1.5998316591318535], [-0.7297041813529909, -1.5725471610441046], [-0.7297512198810953, -1.5716091660213323], [-1.0462028291518222, -1.739503049856856], [-0.9689736576134931, -2.5747057400997204], [-0.7896577892531429, -3.2567308670536383], [-0.48127540040337774, -3.7734669516462342]]"
262,1875.4624351370117,"[1817.4060796023696, 0, 0.0, 58.05635553464217, 0]",12.45862603187561,"[[0, 0], [-0.27472445461304407, 0.0], [-0.1756569947750169, 0.17503302221730632], [-0.2824081767420412, 0.25725849462911415], [-0.27243914899979726, 0.23801594000589926], [-0.1983275105743617, 0.3814760952788382], [-0.16936357553024634, 0.35841966456844365], [-0.23001375372066235, 0.4445003265087286], [0.037643661567577424, 0.17088391089543747], [-0.31231803512714706, -0.5179613168552075], [-0.003736991432754279, -1.027975284283022], [-0.05263872179474202, -0.9131220642423512]]"
263,1050.8748318643925,"[1027.3537178150586, 0, 0.0, 23.52111404933386, 0]",12.491217851638794,"[[0, 0], [-0.03629716558896902, 0.0], [0.08189419958091003, -0.07533980049825736], [-0.16752981686239912, 0.3097685044764323], [-0.6518422809574699, 0.8121376579754751], [-1.3471243125373726, 0.16552651471504837], [-1.158218215916771, -0.7563208301498426], [-1.0536490574756667, -1.2376162976335576], [-0.9951948411931223, -1.6705340395446757], [-0.9076606835859873, -2.422315490323642], [-0.495776947177776, -3.263394780218188], [-0.20687493106877994, -4.087537169534376], [-0.02488032436964414, -4.863291666137755]]"
264,1237.5329930944374,"[1186.0929863891292, 0, 0.0, 51.44000670530814, 0]",12.6993727684021,"[[0, 0], [0.22181622620780356, 0.0], [0.5676577652268405, 0.3226259135936331], [0.6060577352288016, 0.5799886150819495], [0.60549445009073, 0.49360087072826325], [0.6022977743926997, 0.43881064349786925], [0.8251333873983571, 0.28283515388723457], [0.9837425271144475, 0.3350455395882929], [0.8891318008793417, 0.01362080390008552], [-0.30612168948908663, -0.5811914292595454], [-2.330989098202805, 0.09932989131351791], [-1.0263442407814007, -2.337531873079709], [1.7372301819135245, -4.329687345120574]]"
265,1031.8757632188047,"[1005.6286610266384, 0, 0.0, 26.247102192166295, 0]",12.872098922729492,"[[0, 0], [-0.3453085323323289, 0.0], [-1.3923583921548162, -0.5172823869063028], [-2.808558073309807, -1.7045276237355742], [-0.6185068051012999, -2.1318673101700205], [1.200621074811702, -0.04172264428462363], [2.415419307003506, 3.131574125675901], [4.451879750951125, 6.012167445620335], [6.034815718117107, 9.139104896340147], [5.914057075147573, 5.322859222820516], [5.719858134641933, 1.4527969953064526], [4.806791572723802, -2.3718776674563244], [3.3442044152569474, -6.245200148352555]]"
266,1812.0828410255938,"[1768.0696521021105, 0, 0.0, 44.01318892348339, 0]",13.272826433181763,"[[0, 0], [-0.1442009800367314, 0.0], [-0.15099722492352002, -0.010094089506885007], [-0.15441751708799606, 0.011998741820580583], [-0.6518022506267981, -0.6187501308167966], [-1.0482420693606718, -1.2544133523764396], [-1.1439382208982984, -1.3862790138980974], [-1.197748713836357, -1.4213259309610227], [-1.0314998800878938, -1.2140771728360404], [-0.5203443268878333, -1.337192110996849], [-0.3534994442096916, -1.1668931410806975], [-0.3633641613733519, -1.1671225609464397]]"
267,1570.8368587709188,"[1323.6677950399726, 200, 0.0, 47.16906373094615, 0]",13.344348669052124,"[[0, 0], [0.12084602570846614, 0.0], [-0.06310020439777614, 0.6256393560803561], [0.8270379095754391, 0.0010294074427444257], [1.4233664069979568, -0.2950420156899204], [2.098744286156189, -0.5421452258027075], [2.5973853249520213, -2.022266877433087], [0.5746828601644653, -1.7311671746254775], [-1.4133069815789703, -2.0816525326128668], [0.194024490471658, -0.5982625113187451], [3.0713549562361218, -0.8476850644363969], [3.4767050780336928, -4.368398754259646]]"
